Time,Pressure_1,Pressure_2,Pressure_3,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Demand_1,Demand_2,Demand_3,Demand_4,Demand_5,Demand_6,Demand_7,Demand_8,Demand_9,Demand_10,Demand_11,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,NodeQuality_1,NodeQuality_2,NodeQuality_3,NodeQuality_4,NodeQuality_5,NodeQuality_6,NodeQuality_7,NodeQuality_8,NodeQuality_9,NodeQuality_10,NodeQuality_11,Flow_1,Flow_2,Flow_3,Flow_4,Flow_5,Flow_6,Flow_7,Flow_8,Flow_9,Flow_10,Flow_11,Flow_12,Flow_13,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,HeadLoss_1,HeadLoss_2,HeadLoss_3,HeadLoss_4,HeadLoss_5,HeadLoss_6,HeadLoss_7,HeadLoss_8,HeadLoss_9,HeadLoss_10,HeadLoss_11,HeadLoss_12,HeadLoss_13,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Status_13,Setting_1,Setting_2,Setting_3,Setting_4,Setting_5,Setting_6,Setting_7,Setting_8,Setting_9,Setting_10,Setting_11,Setting_12,Setting_13,ReactionRate_1,ReactionRate_2,ReactionRate_3,ReactionRate_4,ReactionRate_5,ReactionRate_6,ReactionRate_7,ReactionRate_8,ReactionRate_9,ReactionRate_10,ReactionRate_11,ReactionRate_12,ReactionRate_13,FrictionFactor_1,FrictionFactor_2,FrictionFactor_3,FrictionFactor_4,FrictionFactor_5,FrictionFactor_6,FrictionFactor_7,FrictionFactor_8,FrictionFactor_9,FrictionFactor_10,FrictionFactor_11,FrictionFactor_12,FrictionFactor_13,LinkQuality_1,LinkQuality_2,LinkQuality_3,LinkQuality_4,LinkQuality_5,LinkQuality_6,LinkQuality_7,LinkQuality_8,LinkQuality_9,LinkQuality_10,LinkQuality_11,LinkQuality_12,LinkQuality_13
0,127.540733337402,119.257308959961,117.021255493164,118.66902923584,117.661155700684,118.758155822754,120.736968994141,115.860778808594,110.790184020996,0,51.9959983825684,0,150,150,100,150,200,150,100,100,-1866.17578125,766.175842285156,1004.34741210938,985.230346679688,970.06982421875,968.872680664062,971.546630859375,969.078369140625,968.645202636719,967.3916015625,965.689331054688,800,970,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1866.17578125,1234.20715332031,129.335144042969,191.158126831055,120.66487121582,40.8105201721191,-766.175842285156,481.968627929688,188.696212768555,29.3351345062256,140.810516357422,59.1894798278809,1866.17578125,2.35286664962769,2.57230067253113,0.528331279754639,0.780876815319061,0.342300951480865,0.46308359503746,0.965991258621216,1.96883141994476,0.535291612148285,0.187239661812782,0.898762404918671,0.671632587909698,0,1.81548583507538,2.87131118774414,0.226731732487679,0.467473804950714,0.0820391103625298,0.322399705648422,0.34912109375,2.59161281585693,0.187775582075119,0.0430829599499702,0.786937355995178,0.641863286495209,-204.347412109375,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316791608929634,0.0326037593185902,0.0435915812849998,0.0411429181694984,0.0450908951461315,0.0484094321727753,0.0361414104700089,0.0358802899718285,0.0422029048204422,0.0527597442269325,0.0418257042765617,0.0458176843822002,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75
3600,128.589630126953,120.450286865234,118.349403381348,119.991386413574,118.940742492676,120.073394775391,122.05445098877,117.148544311523,112.089508056641,0,53.3254127502441,0,150,150,100,150,200,150,100,100,-1848.58117675781,748.581115722656,1006.76812744141,987.983581542969,973.135009765625,971.924499511719,974.499755859375,972.11376953125,971.685791015625,970.363586425781,968.68798828125,800,973.068115234375,1,0.443782806396484,0.437765300273895,0.428577214479446,0.413206815719604,0.427978575229645,0.441523730754852,0.405299723148346,0.386255085468292,1,0.966439187526703,1848.58117675781,1220.42736816406,130.111618041992,187.689300537109,119.888397216797,40.4644889831543,-748.581115722656,478.153778076172,191.734588623047,30.111608505249,140.464492797852,59.535514831543,1848.58117675781,2.33068346977234,2.54358148574829,0.531503140926361,0.766706764698029,0.340098261833191,0.459157109260559,0.94380795955658,1.95324790477753,0.54391086101532,0.192195743322372,0.896553754806519,0.675559163093567,0,1.78390753269196,2.81222939491272,0.229263305664062,0.451891362667084,0.081056535243988,0.317348122596741,0.33447265625,2.55375480651855,0.193416714668274,0.0452099442481995,0.783365428447723,0.64882218837738,-206.768127441406,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.33475112915039,1.57338631153107,1.63385450839996,1.74427664279938,1.27166664600372,2.34325695037842,1.13215339183807,2.04249978065491,1.41905748844147,1.45333516597748,2.12850022315979,2.5575737953186,0,0.031723503023386,0.0326580628752708,0.0435537733137608,0.0412551648914814,0.0451297946274281,0.0484693795442581,0.0362717695534229,0.0359225682914257,0.0421039313077927,0.0525459609925747,0.0418412461876869,0.0457776077091694,0,0.848858237266541,0.437765300273895,0.428577214479446,0.419132888317108,0.441924571990967,0.39309361577034,0.438235700130463,0.432565689086914,0.436939656734467,0.434882491827011,0.405299723148346,0.393056005239487,1
7200,129.247436523438,121.198539733887,119.633964538574,120.911827087402,119.347175598145,120.823951721191,122.783981323242,117.007316589355,111.888961791992,0,54.6243362426758,0,180,180,120.000007629395,180,240.000015258789,180,120.000007629395,120.000007629395,-1837.4609375,517.461120605469,1008.28625488281,989.71044921875,976.099609375,974.048767089844,975.437744140625,973.845947265625,973.369445800781,970.037658691406,968.225158691406,800,976.065856933594,1,0.865505814552307,0.786790072917938,0.365890949964523,0.392199546098709,0.368157655000687,0.390217185020447,0.326248586177826,0.297902941703796,1,0.934736371040344,1837.4609375,1164.40002441406,172.960250854492,150.84407043457,127.039756774902,42.2169494628906,-517.461120605469,493.06103515625,293.978759765625,52.9602432250977,162.216949462891,77.7830505371094,1837.4609375,2.31666302680969,2.42681074142456,0.70653885602951,0.616194725036621,0.360385179519653,0.479042559862137,0.65241277217865,2.01414370536804,0.833956182003021,0.338033497333527,1.03539490699768,0.882616937160492,0,1.76408410072327,2.57781052589417,0.388417094945908,0.301476687192917,0.0902464911341667,0.343276500701904,0.16876220703125,2.70316386222839,0.426829934120178,0.128659337759018,1.02274346351624,1.0645432472229,-208.286254882812,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.6566526889801,2.94973278045654,1.46572482585907,1.4794203042984,1.11437809467316,1.8562638759613,2.02479720115662,3.59106278419495,1.2911970615387,1.27331519126892,1.79628658294678,2.11712336540222,0,0.0317518413066864,0.0328859314322472,0.041756983846426,0.0426108911633492,0.0447487197816372,0.0481670498847961,0.0383006073534489,0.0357597433030605,0.0395232439041138,0.0483408942818642,0.0409588329493999,0.0440020561218262,0,0.933166801929474,0.831202387809753,0.396370977163315,0.358653396368027,0.387793630361557,0.312356203794479,0.787286341190338,0.80765688419342,0.40853688120842,0.376978665590286,0.345211654901505,0.326436579227448,1
10800,129.957397460938,122.006217956543,120.531188964844,121.804000854492,120.212692260742,121.709060668945,123.670707702637,117.877220153809,112.764526367188,0,55.5221939086914,0,180,180,120.000007629395,180,240.000015258789,180,120.000007629395,120.000007629395,-1825.38317871094,505.383178710938,1009.92474365234,991.574462890625,978.170288085938,976.107788085938,977.435241699219,975.888671875,975.415893554688,972.045288085938,970.245849609375,800,978.138000488281,1,0.863790273666382,0.784703373908997,0.309112101793289,0.743157267570496,0.319621562957764,0.339605301618576,0.280226558446884,0.244461447000504,1,0.913172781467438,1825.38317871094,1154.81750488281,173.490386962891,148.513305664062,126.509613037109,42.0523719787598,-505.383178710938,490.565673828125,295.943939208984,53.4903831481934,162.052383422852,77.947624206543,1825.38317871094,2.30143547058105,2.40683913230896,0.708704471588135,0.606673657894135,0.358881294727325,0.477175086736679,0.637185037136078,2.00395011901855,0.839530944824219,0.341417282819748,1.03434443473816,0.884484350681305,0,1.74266672134399,2.53866958618164,0.390625,0.29291096329689,0.0895413458347321,0.340802729129791,0.16143798828125,2.67788290977478,0.43212428689003,0.131040632724762,1.02082455158234,1.06871628761292,-209.924743652344,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.65398049354553,2.93000864982605,2.1147632598877,1.79385209083557,0.987687230110168,1.51271903514862,1.87803876399994,3.7910258769989,2.00980162620544,1.30522406101227,2.88421010971069,1.95369386672974,0,0.0317827984690666,0.0329263024032116,0.0417380928993225,0.0427098721265793,0.0447719655930996,0.0481949709355831,0.0384105071425438,0.0357866138219833,0.0394838415086269,0.0482645034790039,0.040965061634779,0.0439882054924965,0,0.932788670063019,0.828518867492676,0.537960588932037,0.468910455703735,0.337622612714767,0.252347350120544,0.783904016017914,0.808483421802521,0.584497570991516,0.315566778182983,0.562683582305908,0.286599963903427,1
14400,130.280776977539,122.374137878418,121.398788452148,122.226272583008,120.128509521484,121.882629394531,123.820655822754,117.12818145752,111.892051696777,0,56.3991088867188,0,210,210,140,210,280,210,140,140,-1819.85510253906,279.855194091797,1010.67108154297,992.423583984375,980.172607421875,977.082336425781,977.240966796875,976.289245605469,975.761962890625,970.316589355469,968.232299804688,800,980.161804199219,1,0.8621945977211,0.78409880399704,0.468334823846817,0.741477072238922,0.496587514877319,0.296711176633835,0.549347579479218,0.210432752966881,1,0.89243358373642,1819.85510253906,1100.0634765625,215.822189331055,114.267059326172,134.177825927734,45.5246772766113,-279.855194091797,509.791717529297,394.386077880859,75.8221817016602,185.524673461914,94.4753189086914,1819.85510253906,2.29446578025818,2.29272222518921,0.88162899017334,0.466778457164764,0.380634367465973,0.516575872898102,0.35284024477005,2.08248805999756,1.11879062652588,0.483956217765808,1.1841629743576,1.07202684879303,0,1.73290574550629,2.32026076316833,0.585278570652008,0.180250227451324,0.0998641476035118,0.394751816987991,0.05401611328125,2.87549567222595,0.735485196113586,0.250070750713348,1.31143510341644,1.52593672275543,-210.671081542969,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.65114688873291,2.92454051971436,2.67721199989319,2.21447205543518,0.89438796043396,1.53016078472137,1.86410117149353,3.78459978103638,2.46449279785156,1.10173094272614,3.41324925422668,1.92565155029297,0,0.0317970775067806,0.0331638418138027,0.0404104664921761,0.0443973541259766,0.0443892441689968,0.0476332269608974,0.0419123955070972,0.0355836525559425,0.0378408059477806,0.04583989828825,0.0401528850197792,0.0427542589604855,0,0.932388007640839,0.827355146408081,0.66916435956955,0.578162848949432,0.31047385931015,0.263960212469101,0.782735705375671,0.807484030723572,0.69758003950119,0.269563913345337,0.64506196975708,0.292806833982468,1
18000,130.665817260742,122.812202453613,121.884162902832,122.708419799805,120.597618103027,122.359962463379,124.298889160156,117.599082946777,112.365234375,0,56.884693145752,0,210,210,140,210,280,210,140,140,-1813.25158691406,273.251556396484,1011.55969238281,993.4345703125,981.292785644531,978.195068359375,978.323608398438,977.390869140625,976.865661621094,971.403381347656,969.324340820312,800,981.282470703125,1,0.861205041408539,0.783779740333557,0.570648908615112,0.74854564666748,0.601080000400543,0.245200902223587,0.559273540973663,0.178867161273956,1,0.873101413249969,1813.25158691406,1094.75903320312,216.103332519531,113.028823852539,133.896667480469,45.4637069702148,-273.251556396484,508.492523193359,395.404144287109,76.1033401489258,185.46369934082,94.5362930297852,1813.25158691406,2.28613996505737,2.28166675567627,0.882777452468872,0.461720287799835,0.379836797714233,0.515884101390839,0.344514399766922,2.07718086242676,1.12167870998383,0.485750764608383,1.18377375602722,1.07271862030029,0,1.72128415107727,2.29958033561707,0.586688876152039,0.176655158400536,0.0994711220264435,0.393757671117783,0.05157470703125,2.86192464828491,0.738999366760254,0.251781582832336,1.31064903736115,1.52775156497955,-211.559692382812,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.6497757434845,2.90504217147827,2.85796332359314,2.21772336959839,0.997472763061523,1.9209508895874,1.58892369270325,3.80615758895874,2.63885903358459,1.42897367477417,3.54113745689392,3.03903579711914,0,0.0318142995238304,0.0331875421106815,0.0404025018215179,0.0444704256951809,0.0444004200398922,0.0476407893002033,0.0419756472110748,0.0355969183146954,0.0378260724246502,0.0458131209015846,0.0401552058756351,0.0427499152719975,0,0.932196974754333,0.824831068515778,0.682298898696899,0.606946289539337,0.343566477298737,0.324729263782501,0.776986360549927,0.808526515960693,0.7127845287323,0.321151465177536,0.65645968914032,0.450667023658752,1
21600,130.672958374023,122.820343017578,122.354042053223,122.65950012207,120.050437927246,121.997146606445,123.909255981445,116.276466369629,110.869552612305,0,57.358829498291,0,240.000015258789,240.000015258789,160,240.000015258789,320,240.000015258789,160,160,-1813.12866210938,53.1287231445312,1011.576171875,993.453369140625,982.377197265625,978.082153320312,977.060791015625,976.553527832031,975.966430664062,968.350952148438,965.872497558594,800,982.376708984375,1,0.860338628292084,0.783471643924713,0.581624448299408,0.747320473194122,0.603638052940369,0.210812002420425,0.564371883869171,0.310282379388809,1,0.854327738285065,1813.12866210938,1041.78540039062,257.806091308594,81.3540267944336,142.193908691406,49.989315032959,-53.1287231445312,531.343383789062,490.8505859375,97.8060913085938,209.989318847656,110.010688781738,1813.12866210938,2.28598499298096,2.17126059532166,1.05313229560852,0.332329452037811,0.403374344110489,0.567236840724945,0.0669844672083855,2.17052602767944,1.39244031906128,0.624274611473083,1.34031534194946,1.24830913543701,0,1.72106385231018,2.09775972366333,0.813455283641815,0.0960725694894791,0.111192643642426,0.469404280185699,0.00244140625,3.10465502738953,1.10296773910522,0.40070503950119,1.64959073066711,2.02292251586914,-211.576171875,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.64822340011597,2.90199422836304,2.86429405212402,2.18041753768921,1.14034903049469,2.28583002090454,1.58625900745392,3.80404043197632,2.63839769363403,1.70553338527679,3.55002570152283,3.49549746513367,0,0.0318145379424095,0.0334320329129696,0.0393614135682583,0.0466836392879486,0.0440092161297798,0.0469755977392197,0.0525614321231842,0.0353660210967064,0.0366347953677177,0.0441434532403946,0.0394234918057919,0.0418012328445911,0,0.931979179382324,0.824212551116943,0.683075726032257,0.598804771900177,0.392634600400925,0.384849518537521,0.778530299663544,0.80829268693924,0.711962819099426,0.38258945941925,0.657677590847015,0.502426207065582,1
25200,130.746292114258,122.903785705566,122.44620513916,122.7509765625,120.139724731445,122.087539672852,123.99983215332,116.365989685059,110.959312438965,0,57.4510192871094,0,240.000015258789,240.000015258789,160,240.000015258789,320,240.000015258789,160,160,-1811.86853027344,51.8684883117676,1011.74542236328,993.645935058594,982.589904785156,978.293273925781,977.266845703125,976.762145996094,976.175476074219,968.557556152344,966.079650878906,800,982.589477539062,1,0.860087156295776,0.781488716602325,0.601467549800873,0.751862347126007,0.626517772674561,0.249504074454308,0.578024327754974,0.373495370149612,1,0.836563348770142,1811.86853027344,1040.76171875,257.857879638672,81.1250534057617,142.142105102539,49.9817047119141,-51.8684883117676,531.106750488281,491.035339355469,97.8578948974609,209.981704711914,110.018295288086,1811.86853027344,2.28439617156982,2.16912722587585,1.05334389209747,0.331394076347351,0.403227388858795,0.56715053319931,0.0653955712914467,2.16955971717834,1.39296436309814,0.624605298042297,1.34026670455933,1.24839544296265,0,1.71884965896606,2.09394502639771,0.813755869865417,0.0955870673060417,0.111111730337143,0.469300240278244,0.00213623046875,3.10210037231445,1.10374224185944,0.401098072528839,1.64948666095734,2.02319979667664,-211.745422363281,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.6481294631958,2.88237810134888,2.99302554130554,1.93120729923248,1.33717739582062,2.53527808189392,0.87858259677887,3.83000922203064,2.75544285774231,2.21213889122009,3.6695876121521,3.75503540039062,0,0.0318178199231625,0.0334369167685509,0.0393601395189762,0.0467102862894535,0.0440092533826828,0.046979483217001,0.0482532791793346,0.0353684090077877,0.0366329364478588,0.0441399812698364,0.0394238643348217,0.0418011844158173,0,0.931967794895172,0.822167694568634,0.693063259124756,0.582125723361969,0.453187555074692,0.413253158330917,0.764707803726196,0.810317158699036,0.721703350543976,0.462761253118515,0.668591976165771,0.528562486171722,1
28800,131.186172485352,123.404335021973,122.540222167969,123.360092163086,121.231674194336,123.005073547363,124.945190429688,118.23560333252,113.004768371582,0,57.5410194396973,0,210,210,140,210,280,210,140,140,-1804.28820800781,264.288177490234,1012.76062011719,994.801147460938,982.806884765625,979.699035644531,979.786926269531,978.879699707031,978.357238769531,972.872375488281,970.80029296875,800,982.797180175781,1,0.85995477437973,0.781318664550781,0.602960824966431,0.75177526473999,0.624630868434906,0.345566302537918,0.582732558250427,0.391691207885742,1,0.819177567958832,1804.28820800781,1087.55603027344,216.484344482422,111.350204467773,133.515655517578,45.3819465637207,-264.288177490234,506.732147216797,396.783508300781,76.4843444824219,185.381958007812,94.618049621582,1804.28820800781,2.27483892440796,2.26665472984314,0.884333908557892,0.454863160848618,0.378755956888199,0.514956295490265,0.333213418722153,2.06998991966248,1.12559175491333,0.488182634115219,1.18325197696686,1.07364642620087,0,1.70555293560028,2.27164077758789,0.588607788085938,0.171823218464851,0.0989509373903275,0.392439872026443,0.04852294921875,2.84360241889954,0.74378502368927,0.254128187894821,1.30957400798798,1.53019070625305,-212.760620117188,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.64784216880798,2.88182783126831,2.99130702018738,1.89571440219879,1.46967744827271,2.60032486915588,0.869264304637909,3.82956504821777,2.75081181526184,2.29882431030273,3.6792311668396,3.81476640701294,0,0.031837522983551,0.0332200191915035,0.040392093360424,0.0445680059492588,0.0444206707179546,0.0476525910198689,0.0422160513699055,0.0356151945888996,0.0378067903220654,0.0457805544137955,0.0401576645672321,0.0427441969513893,0,0.93192732334137,0.822083175182343,0.692552089691162,0.572275936603546,0.493839174509048,0.423229962587357,0.763547718524933,0.810247123241425,0.72046172618866,0.479529112577438,0.669951796531677,0.535260081291199,1
32400,131.549758911133,123.818069458008,122.99861907959,123.815399169922,121.674705505371,123.455772399902,125.39673614502,118.680351257324,113.451553344727,0,57.9995994567871,0,210,210,140,210,280,210,140,140,-1797.99877929688,257.998840332031,1013.59973144531,995.755981445312,983.864807128906,980.749816894531,980.809387207031,979.919860839844,979.399353027344,973.898803710938,971.831420898438,800,983.855529785156,1,0.859135448932648,0.783027231693268,0.589997887611389,0.7464399933815,0.592736184597015,0.373589545488358,0.570628762245178,0.379877924919128,1,0.801932334899902,1797.99877929688,1082.50109863281,216.751754760742,110.172569274902,133.248260498047,45.3252105712891,-257.998840332031,505.497802734375,397.75048828125,76.7517471313477,185.325210571289,94.6747894287109,1797.99877929688,2.26690936088562,2.25611901283264,0.885426223278046,0.450052559375763,0.377997398376465,0.514312505722046,0.325283855199814,2.06494760513306,1.12833476066589,0.489889413118362,1.1828898191452,1.07429015636444,0,1.69456315040588,2.25211644172668,0.589960277080536,0.168470904231071,0.0985810235142708,0.39154976606369,0.04638671875,2.83079433441162,0.747148931026459,0.255769670009613,1.30882263183594,1.5319014787674,-213.599731445312,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.64610528945923,2.89776802062988,2.8643524646759,2.1085193157196,1.45021092891693,2.52546262741089,1.56946456432343,3.799640417099,2.63454341888428,2.12824869155884,3.55913639068604,3.54457330703735,0,0.0318540632724762,0.0332428105175495,0.0403850749135017,0.0446376502513885,0.0444324091076851,0.0476636104285717,0.0423490852117538,0.0356281399726868,0.0377933457493782,0.0457557626068592,0.0401592031121254,0.0427407138049603,0,0.931683361530304,0.823353230953217,0.682449579238892,0.582486689090729,0.49395677447319,0.419887632131577,0.777700006961823,0.807561457157135,0.710786581039429,0.469393521547318,0.658891260623932,0.506654679775238,1
36000,132.269821166992,124.637542724609,123.45426940918,124.710350036621,123.032608032227,124.591812133789,126.558639526367,120.711235046387,115.616600036621,0,58.4472618103027,0,180,180,120.000007629395,180,240.000015258789,180,120.000007629395,120.000007629395,-1785.47814941406,465.478210449219,1015.26153564453,997.647216796875,984.916381835938,982.815246582031,983.943237304688,982.541687011719,982.080871582031,978.585815429688,976.828063964844,800,984.888671875,1,0.85821259021759,0.782619178295135,0.58550614118576,0.74576860666275,0.59466689825058,0.377702057361603,0.563415467739105,0.36574199795723,1,0.785203635692596,1785.47814941406,1123.1240234375,175.238296508789,140.829040527344,124.761711120605,41.5250930786133,-465.478210449219,482.354125976562,302.407562255859,55.2382965087891,161.525100708008,78.4749069213867,1785.47814941406,2.25112342834473,2.34078454971313,0.715844631195068,0.575283586978912,0.353922843933105,0.471191972494125,0.58687299489975,1.97040617465973,0.857866883277893,0.352573841810226,1.03097891807556,0.890467464923859,0,1.67277479171753,2.4111430644989,0.397942274808884,0.26544514298439,0.0872756466269493,0.332907468080521,0.1385498046875,2.59545063972473,0.449752807617188,0.139086171984673,1.0146632194519,1.08212554454803,-215.261535644531,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.6445951461792,2.89452815055847,2.86025977134705,2.13099813461304,1.43305003643036,2.48633813858032,1.55676651000977,3.79623317718506,2.63639378547668,2.07998442649841,3.5433132648468,3.45145082473755,0,0.0318870469927788,0.0330621488392353,0.0416759438812733,0.043044101446867,0.044870413839817,0.0482816286385059,0.0388591289520264,0.0358760096132755,0.0393566563725471,0.048037089407444,0.0409840792417526,0.0439436063170433,0,0.931473851203918,0.822678923606873,0.681555807590485,0.590183556079865,0.488309323787689,0.413379430770874,0.777040004730225,0.806979298591614,0.710885584354401,0.458442956209183,0.656480073928833,0.495012640953064,1
39600,132.908187866211,125.364158630371,124.261413574219,125.512786865234,123.811325073242,125.387565612793,127.355842590332,121.49373626709,116.403915405273,0,59.254940032959,0,180,180,120.000007629395,180,240.000015258789,180,120.000007629395,120.000007629395,-1774.30358886719,454.303588867188,1016.73480224609,999.324157714844,986.779174804688,984.667175292969,985.740417480469,984.378173828125,983.920715332031,980.391723632812,978.645080566406,800,986.752685546875,1,0.856679260730743,0.781733691692352,0.573170840740204,0.740860939025879,0.574267148971558,0.376498609781265,0.55037385225296,0.346300482749939,1,0.768966674804688,1774.30358886719,1114.24060058594,175.727188110352,138.681213378906,124.272804260254,41.3817749023438,-454.303588867188,480.06298828125,304.209808349609,55.7271957397461,161.381774902344,78.6182250976562,1774.30358886719,2.23703455924988,2.32226991653442,0.717841804027557,0.566509783267975,0.352535933256149,0.469565719366074,0.572784066200256,1.96104693412781,0.862979531288147,0.355694353580475,1.03006410598755,0.89209371805191,0,1.65343248844147,2.37594366073608,0.399999916553497,0.258000701665878,0.086639866232872,0.330803602933884,0.1324462890625,2.57267808914185,0.454735040664673,0.141374990344048,1.0130101442337,1.085813164711,-216.734802246094,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,1,2.64166498184204,2.90685558319092,2.69782161712646,2.32888555526733,1.36823201179504,2.36304497718811,1.81152677536011,3.76556921005249,2.47146010398865,1.81041526794434,3.40737271308899,3.18646311759949,0,0.0319165922701359,0.0331010445952415,0.0416586622595787,0.0431428626179695,0.0448947101831436,0.0483093969523907,0.038997195661068,0.0359014794230461,0.0393225401639938,0.0479746200144291,0.0409900210797787,0.0439327359199524,0,0.931067407131195,0.823701560497284,0.66861093044281,0.606811165809631,0.474645763635635,0.401440024375916,0.776749789714813,0.804077088832855,0.69645220041275,0.437005341053009,0.644176781177521,0.470538198947906,1
