,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_5,Pressure_5,Pressure_5,Pressure_5,Pressure_5,Pressure_5,Pressure_6,Pressure_6,Pressure_6,Pressure_6,Pressure_6,Pressure_7,Pressure_7,Pressure_7,Pressure_7,Pressure_8,Pressure_8,Pressure_8,Pressure_9,Pressure_9,Pressure_10
,Pressure_2,Pressure_3,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_3,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_9,Pressure_10,Pressure_11,Pressure_10,Pressure_11,Pressure_11
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.8115655235423276,-3.7986780704447085,-3.3739945767975996,-2.5109872451788817,-3.0588197133578774,-3.069562681662788,-2.0946139682881437,-2.1100380026173298,0.0,-3.8227325997885515,-3.070744581047194,-2.756196403235819,-1.746737129153729,-2.4209701697230344,-2.466200766362391,-1.679497621512354,-1.817566344760948,0.0,-3.1020986738262337,0.05304133598671967,0.946730143374225,0.3083698396971073,0.22749567716937236,0.48717316727292825,0.2203371359473607,0.0,-0.029619296728128575,0.9072451441443263,0.2684943520185783,0.19346599373153595,0.5334877952381873,0.289538900483592,0.0,-0.12442434292415783,-0.7065465179668422,-0.7777176593465356,-0.25295214781147024,-0.4820849829140883,0.0,-1.235244101035292,-0.07356015397508031,0.3360397725416533,0.09870522248641578,0.0,-0.44641108068269375,0.40768159023569694,0.17420117303889526,0.0,-0.37087377762090057,-0.18274656498937247,0.0,-1.1624712773585912,0.0,-1.0549687811808184,-2.864128112792926
1.0,-1.2135910621401536,-2.7276224486199965,-2.272450836853892,-1.496029403135367,-1.9697888865615312,-1.9673680361813695,-0.9593490442151165,-0.9243707414165243,0.0,-2.748192196906224,-2.4114695643160076,-2.0290769260369217,-1.1137181456963106,-1.7016364891162112,-1.7261921807230038,-0.8351555337315801,-0.8960404932860229,0.0,-2.438636494734183,0.15756218736837013,1.0713826109080316,0.44335825865847767,0.37835562045476934,0.8330371849279743,0.6271557644839021,0.0,-0.029655984485501108,0.9271517396913396,0.2961939009480119,0.23547610820419607,0.7531062703492069,0.5635709366036679,0.0,-0.2193757104980847,-0.6588980945804508,-0.7114869507539794,-0.03574299796990488,-0.19623612451314898,0.0,-1.2809749461037399,-0.05836555785722908,0.5176108714557586,0.3369951750825777,0.0,-0.5571381454126509,0.5710069279266179,0.3910381710434905,0.0,-0.49501690263663534,-0.1532162370325949,0.0,-1.273733972747479,0.0,-1.1226386587952675,-1.5347137451172301
2.0,-0.8384893702358056,-1.604294445106234,-1.4904913684746077,-1.2555560162061994,-1.361096377374551,-1.372853269267921,-1.1962161631650048,-1.196195852543113,0.0,-1.609110669869743,-1.5464350744461655,-1.4819778832543733,-1.112821651908277,-1.3248398847870675,-1.3588614586138448,-1.2545047876949411,-1.3335472027409594,0.0,-1.557407775433596,-0.09986690361579065,0.36078365575720284,0.05239775384688983,-0.020450268510202818,-0.2191810019922258,-0.4366059513851326,0.0,-0.016554049604529553,0.45677114584619005,0.15054545210610115,0.07720077520023949,-0.13161646707398234,-0.3506406484320195,0.0,0.08810297473160489,-0.31096390050829825,-0.379389560329642,-0.5170098217353285,-0.7186908882033123,0.0,-0.4188366274361002,-0.07200120886689376,-0.2548800076266673,-0.46904296552261826,0.0,-0.08004870287678756,-0.19285792566637383,-0.40891448690030074,0.0,-0.0009729365593571515,-0.21450572507731636,0.0,0.18318687210088314,0.0,0.39192005557229237,-0.23579025268552556
3.0,-0.4335478200860621,-0.8810866315923533,-0.7477783651774814,-0.5691572794782331,-0.6290996659166268,-0.6318472407743059,-0.4295348175340905,-0.39756150627094655,0.0,-0.8837681271643234,-1.1020556251115607,-0.9927960960669822,-0.6850488369680932,-0.8431748808456803,-0.8631001545503096,-0.6848108367199046,-0.7137621893997306,0.0,-1.110417705265057,-0.030397075539909224,0.4460895482581151,0.14019367844058195,0.07816974863177961,0.0144251837991618,-0.1639694529191189,0.0,-0.016801158725051835,0.47240122324930667,0.166971641960302,0.10338616665548273,0.017624954306569407,-0.1668245969978841,0.0,0.024963290614316236,-0.2832573042654616,-0.3390136152608392,-0.3712340520077646,-0.5286442149759978,0.0,-0.45113165021758306,-0.06166784281633397,-0.1294058588206184,-0.3075165192123279,0.0,-0.1513549027107004,-0.07975465194321885,-0.2619138052087351,0.0,-0.08142676018176331,-0.19670451590322102,0.0,0.10784708133063958,0.0,0.34833629498235297,0.662067413330071
4.0,-0.249070090018364,-0.09274982641814233,-0.39358439558208147,-0.7349262937305383,-0.5252719054229829,-0.5482731620226673,-1.2255901163745477,-1.3050770626340409,0.0,-0.08543191908848513,-0.44073963519799975,-0.7540984365341075,-0.968636088708223,-0.8533861063896779,-0.8912475134704749,-1.5706033719004608,-1.702751572941608,0.0,-0.4388854724781126,-0.4036648963192846,-0.39254262896103853,-0.45722459750932387,-0.5339664613382809,-1.3499013527859347,-1.6194644635439488,0.0,-0.008336949133230576,-0.014038442417714236,-0.07061291137921444,-0.1539654387298981,-1.0725078876041465,-1.366708406303502,0.0,0.4470318843285881,-0.02629506158658046,-0.10674692057129676,-1.0498419132045598,-1.334443363941844,0.0,0.516252760294428,-0.08357926476435296,-1.024426205493583,-1.3200131477844934,0.0,0.5355082884645341,-0.9567705727019842,-1.2575908396800628,0.0,0.6300527778171485,-0.33059392277091604,0.0,1.8227429391354164,0.0,2.163370312607775,1.5389823913574716
5.0,-0.029425760568273063,0.29824843774835585,0.00750425618852546,-0.3629605453498925,-0.13097774155033903,-0.14906981375935402,-0.8106701752129055,-0.8736167321728914,0.0,0.3065904713579002,-0.20097703448817583,-0.49052404432373464,-0.7369488802925446,-0.594870996109492,-0.6250639068114481,-1.262528108619506,-1.3682973659890223,0.0,-0.1978405811084869,-0.3665785369652923,-0.3455072354246056,-0.4112165787922919,-0.4820776164167171,-1.2232197505464768,-1.4724497712521725,0.0,-0.00860338600740107,-0.004224301890275228,-0.06273208317155365,-0.14078437878748673,-0.9910655590520747,-1.2673594337531853,0.0,0.4132753884467988,-0.013672631263048629,-0.08723410108950702,-0.9714164759056132,-1.2328102404668044,0.0,0.4976958198379222,-0.0779785537053499,-0.9549902967322623,-1.2319062415332809,0.0,0.49842924884230655,-0.8940300868764268,-1.1773405816461775,0.0,0.5880095977890605,-0.3217409277390999,0.0,1.7815100307631653,0.0,2.1401699676823753,2.0245666503906747
6.0,-0.025336107081415093,0.7663772491011969,-0.0429187665742603,-0.9119423715199986,-0.49533367170013776,-0.5401687147068372,-2.1343250088603867,-2.3700722944538484,0.0,0.7789915875294042,0.2643379053080963,-0.5435054658296394,-1.288541062850726,-0.9617531521447518,-1.0186376104920924,-2.588170489228432,-2.8665571230211384,0.0,0.27175149079897665,-0.8463507601379661,-1.301286155337806,-1.1915876816035365,-1.2844444847940508,-2.879067192713336,-3.283886794443731,0.0,-0.004807225227807521,-0.5048034909659691,-0.3779163215375547,-0.4832323685132849,-2.274166784936199,-2.7251112369443717,0.0,0.9401051538688563,0.16556181503710832,0.058195994472441726,-1.8362390080291817,-2.2951071565029935,0.0,1.5598752843743142,-0.10836863250825957,-1.97245709875871,-2.4348959505860677,0.0,1.369836490337903,-1.884103830317315,-2.352886762140642,0.0,1.492022205658614,-0.513264283079053,0.0,3.735312798959498,0.0,4.222522107279971,2.4987030029296733
7.0,0.01650684637938582,0.8405656995302735,0.03311947683900485,-0.8411571309328849,-0.4207559725482355,-0.46464438272261077,-2.0554637890216014,-2.288258794311446,0.0,0.8533618336501689,0.3097167632476072,-0.4936628507244052,-1.2444783618577873,-0.9130406042659018,-0.9684527428270826,-2.529662368223441,-2.8032223423446254,0.0,0.3173613384120131,-0.839382645174851,-1.2921427691599519,-1.1830947803288012,-1.2748227678638244,-2.8549044808003146,-3.2560598694329883,0.0,-0.0048709519711849225,-0.5026573340831533,-0.3765911133066311,-0.48088926212911076,-2.2585344647727794,-2.706277831751393,0.0,0.9337618764892284,0.1675051505637839,0.061462552588324115,-1.8214168039894503,-2.276065439999698,0.0,1.556110408668303,-0.10729539928833276,-1.9589597434941197,-2.4180583287747197,0.0,1.3630489793478375,-1.87188516579333,-2.3375473316405078,0.0,1.4842807059850713,-0.5117784025418928,0.0,3.7273491150717746,0.0,4.218198604381726,2.5908927917480753
8.0,0.2675270019581575,0.8267648356179933,0.5496315935309326,0.13981374773022992,0.40191202447080343,0.3904279093824101,-0.2498049671330307,-0.29046759345634143,0.0,0.8364743922132121,0.12308831061974956,-0.13429690835555164,-0.42381562870609457,-0.24553648742235623,-0.2653905884872927,-0.8461001860496538,-0.9162828600242108,0.0,0.1279414688168501,-0.3164753305771626,-0.2819488807957953,-0.349108565994527,-0.4120474176791191,-1.0519662238316556,-1.2737826741530114,0.0,-0.008980076889820054,0.009047341451150714,-0.05213477516244325,-0.12304987505491738,-0.880939939920097,-1.1331007679471412,0.0,0.3676583644322662,0.0033267049388712167,-0.06094821827039709,-0.865374195292091,-1.0954696969148188,0.0,0.47261526898649464,-0.07043576500136339,-0.8610468090048613,-1.112798473270658,0.0,0.44838108612575667,-0.8091127661231639,-1.0688292096852763,0.0,0.5312817045089915,-0.3098441669685883,0.0,1.725734379263237,0.0,2.108844185285811,2.680892944335973
9.0,0.4750112352663365,1.19604405791749,0.9283964949754591,0.49111487613102156,0.7741987731914435,0.7673470660556347,0.14208061606774436,0.11691973752060392,0.0,1.2067056653588821,0.34951467272222203,0.11457682486395981,-0.20501929003734176,-0.0015024277214621407,-0.014117346046433,-0.5551351064938075,-0.6005213685143502,0.0,0.3555638529512706,-0.28149230710650386,-0.2375315585844362,-0.30576133776574466,-0.3631495927835289,-0.9323061418364489,-1.1350369832772174,0.0,-0.009246746515806592,0.0183522512752603,-0.0447546582543481,-0.11066786967654707,-0.8039707320055527,-1.0393388957441658,0.0,0.3358083294331422,0.015147712267236102,-0.04262321227690791,-0.7912849765746302,-0.9995802154127773,0.0,0.45507878481330266,-0.06515073485374501,-0.7953635002350694,-1.029602825682133,0.0,0.41346135567709297,-0.7497485815375171,-0.9930492185754076,0.0,0.4916783228963695,-0.30160030642446145,0.0,1.686756314036522,0.0,2.0870234479145537,3.139472961425774
10.0,0.8860176953087233,1.4752018678213688,1.6717600713679133,1.667350988747117,1.7549477911480835,1.7814567885513526,2.0682735414302016,2.203941637828592,0.0,1.479398351813721,0.34570683926703794,0.6006505608922481,0.7087467345440217,0.7252016112655042,0.7511114458146295,1.171154915247314,1.305010448268078,0.0,0.3457743014763608,0.19565303625738295,0.7241453594549796,0.4253675052088113,0.39851844810864634,0.7754376369727112,0.72381610884689,0.0,-0.01768180276240372,0.5237227220767835,0.21989833938660297,0.18801588854853435,0.5040076844365871,0.431806043246155,0.0,-0.1805179962993364,-0.1939845995876368,-0.2085526076309776,0.10352020797564876,0.08996263985348207,0.0,-0.5565683597570299,-0.02810016195100218,0.28004311576763996,0.21897399209876767,0.0,-0.3828007399346589,0.2894777613981745,0.2173390002417932,0.0,-0.342569340290801,-0.13909479965522564,0.0,-0.1376158651310746,0.0,0.20674254741258125,3.5871353149413707
11.0,1.2505099028464457,2.1258776909744483,2.3398081337747385,2.285012803948419,2.4130292550711374,2.447634306601799,2.757961730266686,2.92208461443154,0.0,2.1319583080754256,0.7454556408361128,1.0405415460271144,1.093653922284858,1.1580026440668405,1.1965884951805492,1.68357694587489,1.8622174732763312,0.0,0.7478360826520003,0.257984419134317,0.800983860223738,0.5038572366921983,0.48674008769677357,0.9855249761764497,0.9687366598567593,0.0,-0.01793970803608147,0.5380367720375432,0.23434321794437096,0.21123320363169285,0.6383326575062256,0.5969505836572466,0.0,-0.2371777472435923,-0.169647606229006,-0.17282247002502515,0.23451386331979052,0.2605082855724703,0.0,-0.5857610846095298,-0.01881455279568911,0.3932681994730842,0.3643363823698422,0.0,-0.4464452170789599,0.3915847538479653,0.34964580966689596,0.0,-0.4144329190002196,-0.12336022272893388,0.0,-0.20535444617293308,0.0,0.16786835708863634,4.3948135375976705
12.0,1.8093767497639845,2.685570728841782,3.29333473016122,3.63370987018493,3.530094070766296,3.599088664437261,4.776910433023787,5.06389116695523,0.0,2.68242570636297,0.920420864397471,1.644252845871378,2.08548344142514,1.9296620359836538,2.009660050851167,3.4307389383108386,3.7572770026445994,0.0,0.9142333292898854,0.6843786198092516,1.7012962160300873,1.1214499958809938,1.1367377919397228,2.579721271416787,2.679286487414501,0.0,-0.0300195485498449,1.029047252181428,0.43344562966758815,0.4451178005533336,1.862930037909834,1.9457431110632086,0.0,-0.6979074758524746,-0.4221676633689526,-0.3807676696561373,1.0608025926338485,1.24459159747839,0.0,-1.512249904818276,0.018464258444936377,1.4374742724681369,1.5407614885096166,0.0,-1.1124228461004861,1.3986450269686799,1.4863850178715126,0.0,-1.1181589993953764,-0.00658198944908861,0.0,-1.8349497332991973,0.0,-1.460841437039889,5.183078765869169
13.0,3.090658652138842,5.820443034555126,5.450787652764532,4.604729660151136,5.00793154104791,5.049762521728681,4.462746107162275,4.512049680326456,0.0,5.86922674840109,4.369779646893448,4.189242685472962,3.143024416643769,3.725988225712541,3.8219433216314798,3.567195503720825,3.8090607928932627,0.0,4.428938949214768,0.16882044045080136,-0.608087468818411,-0.15605145464196823,-0.02394685692942744,0.44498225050128326,0.8187572936396492,0.0,0.052184745663495846,-0.7879053405591208,-0.34067683363683443,-0.21625697378084396,0.15520994682177047,0.4980345456508246,0.0,-0.06484091578181506,0.5789265194840851,0.7073715324522851,0.8643511731026194,1.2187934730496153,0.0,1.0294864502117207,0.123208295261648,0.3900224326275463,0.7258974843775832,0.0,0.35921818528279914,0.26811994700410935,0.5962056609271684,0.0,0.23390821521192606,0.24700029725170225,0.0,0.5657763775224396,0.0,0.5283912289605439,4.929191589355469
14.0,2.37078996648701,4.339531263331821,4.2653502367965785,3.785589387216504,4.071078408454838,4.113785291482785,3.981480682909236,4.099007916233958,0.0,4.364807767330987,3.4138260959920785,3.4836213941715215,2.8057862149356367,3.261326204133141,3.349775279504925,3.462393563986737,3.7425778149282394,0.0,3.448923667715661,0.3649669662738262,-0.20458269017878195,0.22667559732708753,0.3575962880069312,1.0612583920066072,1.4946204911095577,0.0,0.034048865568848896,-0.5638853635709182,-0.14108210000091503,-0.012480068440467562,0.6725126616173611,1.0953994099398727,0.0,-0.3193801599873467,0.5105343250799592,0.6413565259678364,1.177686257152743,1.606694544945583,0.0,0.45219436741290053,0.1286460787418804,0.7565836167177196,1.1778015269175341,0.0,-0.13077230651516913,0.6352388989193543,1.0524766013564033,0.0,-0.26537965209034553,0.36673785793044544,0.0,-0.5338743273560596,0.0,-0.7423150783255608,3.0205459594726705
15.0,1.710041218434455,3.186873150185704,3.0598492201092,2.643902693443323,2.8734382611566645,2.9002702678466648,2.6765647161676895,2.737522748437897,0.0,3.2088936905172503,2.7430134829645425,2.7185311218155874,2.106424901601116,2.4970979994051845,2.561978649366708,2.5030236406297064,2.699189945465122,0.0,2.774346110842231,0.238115824402243,-0.40371913537910586,0.056621258962010756,0.17189673732208632,0.6172069332612438,0.9937575232365958,0.0,0.03552035998768588,-0.6362289605703637,-0.18127911216542714,-0.06658875522553842,0.37900264583556975,0.7523811181306286,0.0,-0.2015854294255348,0.4961964317086256,0.6075440859201535,0.9282525892065223,1.2891236647202362,0.0,0.5661964515174134,0.11363273480708358,0.5139142128640088,0.8826799231534466,0.0,0.014230621589945258,0.4115100309402351,0.7801026073330917,0.0,-0.1076995137274821,0.3454056314425742,0.0,-0.35259225602476363,0.0,-0.6274330670154029,1.4936027526855753
16.0,1.1349069352181544,2.001857839016637,2.1137918918661995,1.9929199411417926,2.1279421996874675,2.155607670952122,2.299716605739448,2.4162601305082916,0.0,2.0049275558581456,1.9774100392389897,2.155819684894169,1.840454593707193,2.128855875476063,2.1878733086425655,2.426948519277772,2.654808157365281,0.0,1.9893488129726222,0.397562785029109,-0.07626841663763173,0.36703962360321896,0.4814839047126185,1.118544843996773,1.5437119372805057,0.0,0.02086274048687642,-0.454776483966171,-0.019830336374155877,0.09834449764964859,0.799113828706723,1.2375697794780507,0.0,-0.4080886995464965,0.44112001342546137,0.5545448054227364,1.1833472053511116,1.6050254552476275,0.0,0.09922958169558171,0.11814039129154708,0.8119112808048499,1.2500426412209578,0.0,-0.3825457022569907,0.7098014333988232,1.1507997257696445,0.0,-0.5120763153757792,0.4422546522947073,0.0,-1.2417362163939885,0.0,-1.6540675296597698,-0.03331756591792612
17.0,0.6393321681836994,1.1373641048440248,1.209695442085902,1.1366321025941346,1.2297358368608826,1.2454776669958534,1.321034067676436,1.395166727635626,0.0,1.1379927380676804,1.4743100605167712,1.5820400955919354,1.315919630984709,1.5557171319257037,1.5970406083918363,1.707432419977863,1.8722940858651924,0.0,1.4834260053261872,0.30245431253143806,-0.2256446337275122,0.23952281578186785,0.34221594322715987,0.7855116605831967,1.168087004410097,0.0,0.02196732246110855,-0.5090865026256779,-0.04998321489600244,0.057740905897588846,0.5789628287141255,0.9803054803654732,0.0,-0.31977398115701305,0.43041399100741273,0.5292153171767069,0.9962974866860179,1.3668886321514293,0.0,0.18475726565822015,0.1068633862435604,0.6298947901685779,1.0287047562110274,0.0,-0.273818978228789,0.5420047824135708,0.9465363963902718,0.0,-0.3938228873244469,0.426272648567803,0.0,-1.1057813386152162,0.0,-1.5679311546038974,-1.1785316467285298
18.0,0.20803097825252337,0.248565034418732,0.5002370727078045,0.648617935785964,0.6708046404935999,0.6872013708114224,1.038835295104235,1.1546555904827187,0.0,0.2349931898210258,0.9000337768188587,1.1600581363447162,1.1166316456218084,1.2796939049066225,1.3166503471524607,1.6507874908703855,1.839419729999051,0.0,0.8946170089639764,0.42215699652656724,0.020203468335324715,0.4725605944268523,0.5746588363048062,1.1619758059174075,1.58100745049164,0.0,0.010986514959057558,-0.3728489409755298,0.07121304104758508,0.18158012202697194,0.8944123461033939,1.344560907933186,0.0,-0.4747656783288505,0.38907279804060124,0.4894638026696043,1.1878617563369005,1.604063791769434,0.0,-0.1657355976703201,0.11027486122938512,0.8536652661819204,1.3045011482700346,0.0,-0.5716343584634842,0.7659689149012223,1.224806868086688,0.0,-0.6973719841105037,0.49891002738084467,0.0,-1.7731442995507791,0.0,-2.3383860917660115,-2.3237190246582315
19.0,-0.1223566017690132,-0.3277565420727484,-0.10249175229580487,0.07778228825924316,0.07200259244616802,0.0804196051857815,0.3863512311481685,0.4739277575126124,0.0,-0.3429430816051493,0.5646445807483076,0.7775434857364587,0.7669675288107385,0.8976064904929899,0.9227362868580258,1.17108335483141,1.3177469038183887,0.0,0.5573586176969059,0.3587466843792555,-0.07936475426583911,0.3875448693362955,0.48177854338437953,0.9399195589657126,1.330587410647155,0.0,0.011735613608919948,-0.40903527502987913,0.051111122033987044,0.15448054328123817,0.7476144951968706,1.1730513751916476,0.0,-0.41587139748114055,0.3819152954479108,0.4725270650687179,1.0631144047856225,1.4452897957495452,0.0,-0.10872120417654685,0.10272634028541461,0.7322904215121468,1.1569425582628128,0.0,-0.49913207385770875,0.6541000093739768,1.0886563894244006,0.0,-0.6184848939171559,0.48828544991074807,0.0,-1.6824557711541956,0.0,-2.280944039807764,-3.087177276611328
20.0,-0.5169781409084777,-0.879810481346027,-0.8999008195381464,-0.8613424996923271,-0.8661248841673199,-0.878196512551753,-0.9625993916996975,-0.987415149869932,0.0,-0.8848101663147219,0.30036509953437474,0.2431626365480497,0.09201444446605933,0.2183273103955088,0.21837361746567296,0.028504536524749824,0.04638248044240356,0.0,0.3029620108394866,0.08051631900265477,-0.5741363978441001,-0.058042400167764185,0.017238945928141902,0.008407322138921813,0.29160935745801453,0.0,0.02461207837777124,-0.6357397566671779,-0.12034816348878508,-0.03700161971285354,0.0652651326428213,0.3800169739775896,0.0,-0.1136193443815472,0.4053548879554114,0.4700430402503315,0.5597771994226406,0.8111748860949888,0.0,0.3843322403356524,0.08055770334087242,0.20518479487600416,0.5122514222468908,0.0,-0.0200275664095102,0.15046828040345872,0.4699178786808318,0.0,-0.11781066296822473,0.38898851003287405,0.0,-0.7884568424540248,0.0,-1.3668593624749974,-3.8506355285644247
21.0,-1.012552907942947,-1.7443271037016501,-1.804027786895432,-1.717599820661988,-1.7643312469939048,-1.7883265165090023,-1.9412819297627095,-2.0085390703216177,0.0,-1.75174498410518,-0.20275776737084072,-0.33064747033117214,-0.43249000067841337,-0.3548114331548362,-0.372459082786051,-0.6910115627751452,-0.7361621086367052,0.0,-0.20296079680694135,-0.01460168390561023,-0.7234621941897643,-0.1855388685446684,-0.12200891097563726,-0.3246096293371039,-0.0840307123043118,0.0,0.02573957099269819,-0.6899901866414098,-0.15047132796398444,-0.0775757759155482,-0.15486121647654727,0.12274581914381599,0.0,-0.025271754244741373,0.39461863406491204,0.4446837102145622,0.37270194846288973,0.5729833744858581,0.0,0.4698271276943018,0.06928069829189099,0.02316830423973215,0.29088301965794017,0.0,0.08869915761869152,-0.017328370580955266,0.2656240317232488,0.0,0.00044276508421603467,0.3729759887269637,0.0,-0.6525019646752526,0.0,-1.2806901737193357,-4.995849609375028
22.0,-1.5937289338188236,-2.5764863787226346,-2.9675438320925167,-3.064599300041948,-3.114688277157896,-3.1673762461340544,-3.8480901668936127,-4.069843071108565,0.0,-2.570585568525786,-0.6110992846276986,-1.106790604269662,-1.390432508698126,-1.3239515013609093,-1.377058879960103,-2.293887213059321,-2.5176766671706474,0.0,-0.5984313081213486,-0.3959637498772537,-1.3994123064428265,-0.7935148197404942,-0.7566112226371757,-1.6030747666999332,-1.5104475145113128,0.0,0.04303813171286208,-0.9981253500137512,-0.3822997084892137,-0.3373117780371473,-1.0887114717579607,-0.9627338361967901,0.0,0.38735768414254323,0.4246511365596888,0.4384800272612779,-0.318929460054008,-0.2986108605751099,0.0,1.136373356647809,0.03842165766667449,-0.6995680639529525,-0.5929239283964449,0.0,0.7392547246623877,-0.7071466056814586,-0.5816450028124223,0.0,0.6808700633552149,0.23888065688905158,0.0,0.5539882831243546,0.0,-0.05300414049273172,-6.14103698730473
23.0,-3.3045697918412316,-6.9128350806546734,-6.303238838409541,-4.749022623353497,-5.899581447239058,-5.919130210042226,-4.208414820489054,-4.386734522482357,0.0,-6.964457819678913,-5.15665762103454,-4.750467580348712,-3.0310664454739253,-4.33856946279073,-4.411356530439875,-3.0668210716964808,-3.4346426944273105,0.0,-5.217332385167467,0.016592252511770766,1.3141133904853746,0.2406194822328871,0.13967756809471155,0.6563977280459454,0.18400289639495782,0.0,-0.04795954305423322,1.323998158222949,0.2518460470925419,0.16353002752816792,0.85042990843246,0.4278218879092037,0.0,-0.15347809765616205,-1.2404633723015195,-1.3301761702139743,-0.32218214497882514,-0.7464938964965455,0.0,-1.898054298390079,-0.0886208244829163,0.7058124611800594,0.28568241782279813,0.0,-0.49554780611289573,0.803974781443543,0.3967775281421808,0.0,-0.41206395401134444,-0.2834128552180033,0.0,-2.1499251858139417,0.0,-2.0801491342336647,-6.64262390136723
24.0,-2.7074972402852353,-5.403637985225657,-5.024844934476661,-4.031895766052202,-4.691245604805033,-4.721662343696565,-3.796000668045835,-3.887237314214005,0.0,-5.432970873310715,-4.058687591465315,-3.846000348918949,-2.6953534439952733,-3.499435837931898,-3.5755926492893195,-2.9449515715471506,-3.198954501708201,0.0,-4.09637185502735,-0.10377829044432474,0.7599089729205275,0.10556257499348476,0.0009614589461364176,-0.031293375439574334,-0.3897393339942141,0.0,-0.02961951612837055,0.8775719798011465,0.22664991562126602,0.13023213109546816,0.204361329781662,-0.12140121870311305,0.0,0.018013784321318838,-0.7784486639237258,-0.8774093040395599,-0.5786026868836842,-0.9108630602009384,0.0,-1.166747393934095,-0.0962777527378762,0.06421377124043204,-0.258400777924777,0.0,-0.2799677113074708,0.16315541804620182,-0.15079562140671499,0.0,-0.1843848590964896,-0.22726680084954864,0.0,-0.9956106945606464,0.0,-0.953158460053892,-4.856422424316428
